Species,Stage,Season,14:0,15:0,16:0,16:1(n-7),16:1(n-5),16:2(n-4),17:0,16:3(n-4),16:4(n-1),18:0,18:1(n-9),18:1(n-7),18:2(n-6),18:3(n-3),18:4(n-3),20:1(n-11),20:1(n-9),20:1(n-7),20:4(n-6),20:4(n-3),20:5(n-3),22:1(n-11),22:1(n-9),22:1(n-7),22:5(n-3),24:1(n-9),22:6(n-3)
C.guilelmi,F,Summer,1.1471,0,4.4584,7.4595,0.2188,0.1906,0,0.5277,0.7692,0.6283,28.3282,2.7737,1.5424,0.5043,0.7923,9.249,16.2165,1.3063,0.2514,0.4113,2.9366,14.1466,2.1415,0.1728,0.5494,0.3738,2.9042
C.guilelmi,F,Summer,4.6795,0,7.4466,6.3431,0,0.2415,0,0.3479,0.2559,0.7453,14.4302,2.2916,1.9094,1.289,10.0692,2.5199,12.1019,1.5926,0.5027,0.948,8.6986,10.676,2.78,0.4162,0.654,0.7737,8.2873
C.guilelmi,F,Summer,0.9734,0,5.7633,8.9316,0.2075,0.3495,0.0831,0.3847,1.0607,0.5931,29.8405,3.3264,1.5188,0.399,0.5949,0,11.3646,1.9058,0.4395,0.505,3.3015,19.4399,3.805,0.4481,1.1946,0.7168,2.8526
C.guilelmi,M,Summer,0.2467,0,4.2784,8.2221,0.1681,0.4379,0,0.3577,0.4917,0.4062,18.9031,2.2743,1.7415,0.5913,0.7005,5.7223,17.1047,1.2633,0.4744,0.4904,4.6856,20.414,3.6184,0.4815,1.0045,0.9066,5.0148
C.guilelmi,M,Summer,4.4386,0,10.0636,4.2334,0.2812,0,0,0,0.0841,1.0313,14.0829,1.6721,1.5168,0.336,1.8141,3.6782,21.2222,1.1386,0.2994,0,2.5481,20.9606,5.7728,0.354,0,1.6623,2.8098
C.guilelmi,M,Summer,2.1209,0.0358,7.6355,19.5457,0.1527,0.401,0.0802,0.2622,0.4103,0.6334,23.1176,4.3282,0.9171,0.4644,0.485,6.1775,10.7952,2.7799,0.3179,0.2525,3.9964,8.4173,2.6891,0.5113,0.3925,0.3933,2.6868
C.guilelmi,F,Winter,2.7973,0.0332,5.7757,9.3199,0.3264,0.4819,0.0796,0.3648,0.2599,0.6189,13.203,2.1129,1.1669,0.6426,6.7372,2.8347,16.5979,2.055,0.354,0.75,6.8667,14.2461,4.173,0.485,0.8433,0.655,6.2188
C.guilelmi,F,Winter,3.2124,0.0732,16.1777,8.3088,0.3964,0.406,0.0996,0.3036,0.1032,1.1396,15.5182,4.0373,1.7232,0.7311,1.9175,1.6,10.5761,1.0593,0.6349,0.5043,9.4988,7.6328,3.3896,0.3985,0.4041,0.779,9.375
C.guilelmi,F,Winter,3.5036,0.0641,9.9208,7.1523,0.6372,0.4136,0.1006,0.2971,0.1455,0.7569,14.5397,2.4929,3.2237,3.0722,8.3462,2.7395,7.5039,1.5242,0.4752,0.8131,10.6405,6.235,2.012,0.3005,1.1135,0.4416,11.5346
T.abyssorum,F,Summer,3.8816,0,19.3691,4.5623,0.3479,0.2331,0.2591,0.4231,0.2558,1.547,21.752,3.7197,1.548,1.283,2.7013,3.7808,7.5905,0.6394,0.3043,0.5832,10.1521,3.6793,0.7067,0.1731,0.2892,0.3106,9.9078
T.abyssorum,F,Summer,5.7312,0,18.3027,5.46,0.4105,0,0.4059,0.4792,0.6407,1.987,19.0142,2.3949,0.8873,0.4148,1.4287,7.1973,16.2482,0.7082,0,0,2.4216,9.924,2.9448,0,0,0.6533,2.3454
T.abyssorum,F,Summer,8.9347,0,19.6185,5.9306,0,0.4913,0.4476,0.5676,0,1.6641,22.1959,3,0.961,0.4979,0.7215,3.6094,9.802,0.4409,0.3495,0,7.2841,3.094,1.0261,0,0,0.6507,8.7127
T.abyssorum,M,Summer,5.6625,0,12.2708,7.1355,0.2223,0.5975,0.3358,0.4568,0.1938,1.7784,22.3454,2.1908,1.3636,0.7885,1.5465,2.5373,8.3462,0.6697,0.543,0.5902,9.5514,4.1504,1.019,0.1864,0.3973,0.7495,14.3716
T.abyssorum,M,Summer,2.4419,0,9.9473,9.6206,0.3621,0.505,0.2486,0.5088,0,1.3644,19.8291,2.379,1.5963,0.7101,0.5394,1.9716,7.2465,1.0751,0.6117,0.4945,14.2239,8.4208,1.2027,0.1382,0.3144,0.7809,13.4669
T.abyssorum,M,Summer,9.3578,0.0804,23.2673,6.0937,0.3353,0.5505,0.6716,0.5273,0.2177,1.9878,20.2262,2.5867,0.8384,0.897,1.4888,3.3563,9.9651,0.8069,0.1501,0.5221,2.8069,6.96,1.6866,0.4176,0,0.8875,3.3146
T.abyssorum,F,Winter,4.6248,0.3079,12.4436,5.8152,0.4517,0.5586,0.5154,0.9513,0.4069,1.2648,10.2125,2.1134,1.5197,2.0753,8.4025,1.6215,8.0685,1.8537,0.5247,1.3352,15.4021,2.9671,1.2613,0.2237,0.5709,0.3425,14.1653
T.abyssorum,F,Winter,6.4006,0.1031,10.8996,6.1437,0.4569,0.3226,0.2858,0.6327,0.6054,1.0613,14.1637,1.7791,2.0393,1.5562,3.8513,3.5083,15.6748,1.1353,0.5138,1.0258,10.0658,5.5502,1.5952,0.2756,0.4593,0.8251,9.0695
T.abyssorum,F,Winter,7.5538,0.2012,12.1524,6.7901,0.4555,0.4291,0.4087,0.8456,0.3447,1.0124,12.1801,1.7616,1.5896,1.835,5.858,2.0028,12.1979,1.6073,0.4585,1.1616,11.1804,4.8682,1.6589,0.2087,0.4836,0.1622,10.592
T.abyssorum,M,Winter,4.4866,0.259,10.2133,6.0375,0.3452,0.5606,0.3285,0.5758,0.3633,0.8666,9.7679,1.8867,1.8962,1.5809,8.3306,4.9094,13.223,1.7874,0.3963,1.2343,12.1095,5.6589,1.4611,0.2308,0.5602,0.0787,10.8519
T.abyssorum,M,Winter,5.3263,0.3577,13.1315,6.5965,0.4953,0.5151,0.4913,0.7424,0.3424,1.0966,8.382,2.1636,1.5567,1.9408,7.8799,1.9899,8.5461,1.9583,0.5398,1.2003,14.7888,3.8714,0.8232,0,0.6197,0.5283,14.1159
T.abyssorum,M,Winter,1.9165,0.0927,10.5172,5.1715,0,0.4056,0.4235,0.3131,0,2.1248,12.1466,3.3434,1.0254,0.9823,1.9641,1.7329,9.2611,3.1896,0.9616,0.896,17.1809,2.6554,2.4684,0.988,1.8006,0.4637,17.9748
T.compressa,F,Summer,7.9339,0,17.3474,10.2856,0.2979,0.525,0,0.7718,0,1.3564,38.4871,3.4665,0.9923,0.4293,0.4428,1.8837,6.8258,0.3764,0,0,2.3988,2.9442,0.5207,0.0753,0,0.4743,2.1649
T.compressa,F,Summer,5.9321,0,32.8751,5.4137,0,0,0.7928,0,0,2.9894,21.6572,2.8392,0,0,0,3.261,11.7448,0.5798,0,0,1.6238,6.1465,1.8648,0,0,0,2.2801
T.compressa,F,Summer,7.5216,0,25.4936,6.0117,0,0,0.8406,0.5497,0,2.3725,17.3476,2.4906,0.6837,0,0,4.7703,14.2173,0.4954,0,0,2.0353,9.6264,1.763,0.1381,0,1.1738,2.4687
T.compressa,I,Summer,2.6726,0.4918,17.3421,8.9345,0.2547,0,0.5991,0.4087,0,2.822,17.1856,2.8914,1.8371,0.9129,1.0413,3.6311,8.934,1.2519,0.1934,0.439,10.4589,5.8304,1.5399,0.2487,0,0.5741,9.5051
T.compressa,I,Summer,4.5871,0.9575,23.8037,3.5658,0.3072,0.2068,0.6382,0.3811,0,2.3022,12.9356,1.61,0.2223,0.1696,0.1797,6.6373,21.0064,1.1136,0,0,0.5218,11.5044,4.802,0.3769,0,2.1705,0
T.compressa,M,Summer,6.5531,0,17.2356,3.3993,0.4066,0.4741,0.396,0.3698,0.6909,1.1925,11.5403,1.9417,2.3181,2.771,6.2767,2.4591,8.3731,0.3902,0.4097,0.6069,13.1568,4.9169,0.5702,0,0.3649,0.2938,12.8927
T.compressa,M,Summer,3.8135,0,12.1978,7.938,0.2606,0.5017,0.2218,0.5173,0.04,1.9051,26.9056,1.9754,1.5152,1.065,1.5532,1.2764,6.2567,0.2337,0.4934,0.5863,11.2892,2.5447,0.5617,0.1936,0.3657,1.1204,14.6679
T.compressa,M,Summer,2.3918,0,16.4853,3.3734,0.2434,0.8067,0.4737,0.4678,0.1479,2.5364,13.7443,2.8809,1.7462,1.003,1.1655,2.1296,6.2285,0.4295,0.9916,0.4313,15.5799,4.008,1.2654,0.3038,0.3714,1.4122,19.3827
T.compressa,F,Winter,1.7841,0,11.971,3.3014,0.364,0.611,0,0.3073,0,1.6223,12.4603,4.0852,1.4746,0.7216,1.0983,2.4174,16.2929,0.8466,1.4292,0.4962,12.8438,8.8525,1.4918,0.3158,0.3239,0.4012,14.4876
T.compressa,M,Winter,8.1154,0.1199,11.6288,5.1007,0.4687,0.2925,0.1847,0.3852,0.4267,0.9294,8.6545,1.1025,1.8916,3.2703,13.237,2.009,9.4581,0.8931,0.9423,12.7539,4.2146,0.5076,0.2436,0,0.5675,0.4028,12.1999
T.libellula,F,Fall,8.7256,0.0982,13.3133,6.2098,0.5407,0.3935,0.2974,0.521,0.7685,1.2221,8.6022,1.3547,1.6997,1.7654,7.3785,2.351,7.6526,0.761,0.5415,0.9053,14.9243,5.2753,0.6604,0.2801,0.5993,0.7616,12.3969
T.libellula,F,Fall,8.6707,0.085,12.2356,8.5071,0.3695,0.5527,0.1942,0.6107,1.2496,1.0076,8.9515,1.5112,1.7147,2.0751,7.5427,2.2794,8.3326,0.8311,0.4235,0.9687,15.5328,4.6566,0.4808,0.2488,0.6284,0.5785,9.761
T.libellula,F,Fall,9.4907,0.0933,12.1057,5.8164,0.6236,0.3511,0.2506,0.4909,0.725,1.0031,7.8692,1.2006,1.8244,2.2663,9.4875,2.7679,8.8935,0.8002,0.475,0.9322,13.7567,5.1291,0.5393,0.2362,0.5256,0.528,11.8179
T.libellula,F,Fall,5.0865,0.1355,9.8174,8.6237,0.3724,0.5992,0.117,0.7741,0.9762,0.5291,9.0462,2.5254,1.1921,0.7035,3.6927,0,23.5081,0.8184,0.1995,0.5469,11.2426,8.7832,1.6808,0.3242,0.6695,0.4582,7.5776
T.libellula,F,Fall,5.3025,0.1082,7.3999,13.7168,0.3689,0.817,0.0967,1.0962,1.8412,0.4434,5.0111,1.5584,1.0707,0.6204,5.0977,2.0669,18.4241,1.0082,0.1546,0.6548,16.4405,7.4751,1.6536,0.3541,0.8096,0.379,6.0304
T.libellula,F,Fall,4.4543,0.1087,8.0457,11.9994,0.3072,0.6527,0.077,0.7429,1.4314,0.4551,6.3397,2.0968,1.3407,0.4335,2.7084,3.0235,20.9654,1.0233,0.1568,0.4888,12.143,10.8897,2.0778,0.3681,0.6452,0.4806,6.5443
T.libellula,M,Fall,6.335,0.4882,10.3146,9.6522,0.4547,0.3927,0.1052,0.4665,0.5845,0.6652,7.1477,2.1609,1.6877,1.744,11.8324,1.7638,14.3059,0.9909,0.2722,0.983,12.1547,4.3581,0.7886,0.2961,0.6078,0.3025,9.1449
T.libellula,M,Fall,6.466,0.1248,11.0161,7.3603,0.4038,0.381,0.1662,0.4865,0.6173,0.8601,7.9773,1.6221,1.3836,1.5854,7.3421,2.299,10.6419,0.6846,0.811,12.4126,5.2498,0.7117,0.2099,8.1582,0.714,0.5101,9.8045
T.libellula,M,Fall,8.2817,0.0732,10.4919,6.032,0.4874,0.4093,0.2085,0.4238,0.4105,0.8421,8.956,1.3655,1.8159,2.7794,12.8778,2.5829,12.7607,1.02,1.0247,11.0477,5.6265,0.6799,0.2494,0,0.8006,0.3996,8.3531
T.libellula,M,Fall,4.6363,0.0444,8.5955,7.4367,0.2964,0.5268,0.0976,0.6383,0.8586,0.5548,7.7455,2.2695,1.0884,0.5742,4.4622,3.4741,24.2023,1.1096,0.5273,10.6021,11.4262,2.1281,0.3089,0,0.8373,0.3343,5.2246
T.libellula,M,Fall,5.3928,0.0671,7.5578,12.1825,0.2957,0.7695,0.0631,1.1068,2.2239,0.443,5.9294,1.5743,0.9234,0.3724,3.1153,2.4386,22.593,0.8932,0.4296,12.699,11.0106,1.8598,0.3043,0.0531,0.7446,0.3906,4.5666
T.libellula,M,Fall,4.2929,0.0413,8.125,8.5018,0.2531,0.3788,0.1232,0.3677,0.4395,0.5905,7.1252,1.7713,1.5292,1.009,8.7844,4.646,19.9619,1.0986,0.8682,7.9612,12.3761,2.4473,0.2724,0.0945,0.6778,0.3248,5.9384
T.libellula,F,Summer,11.6405,0.3929,18.6305,4.6143,0.4769,0.336,0.4294,0.5375,0.4503,1.0918,13.2129,1.6008,0.6783,0.327,0.7031,6.0579,21.6054,0.4556,0,0,1.5408,10.1941,2.3944,0.0883,0,0.9725,1.5688
T.libellula,F,Summer,8.9304,0.3798,18.4127,6.1006,0.1007,0.3176,0.2319,0.4125,0.5592,1.0281,13.9187,2.4737,0.3579,0.1737,0.1518,6.0702,23.0981,0.7768,0,0.1449,1.1976,9.5063,3.0596,0.6502,0,0.9443,1.0027
T.libellula,F,Summer,6.1454,0,12.5376,4.9112,0.4026,0.1359,0.2356,0.462,0.6891,0.6927,12.6122,1.9177,1.6466,1.1368,4.4255,6.134,21.8958,0.8987,0.1303,0.4561,4.0628,10.9549,1.7401,0.3237,0.5201,0.6725,4.2597
T.libellula,F,Winter,5.9119,0.0524,10.0856,7.3968,0.4119,0.2198,0.2054,0.5501,0.5764,0.7882,11.9045,1.9056,1.958,1.7461,6.3652,5.816,17.787,0.865,0.8543,6.9321,8.5616,0.9932,0.242,0,0.5015,0.4087,6.9606
T.libellula,F,Winter,2.7366,0.0998,10.7727,7.5837,0.3575,0,0.4437,0.4442,0.326,0.7637,15.1907,3.0972,2.1211,1.0273,3.4715,4.4248,15.0548,0.9923,0.771,10.4931,5.2432,1.0304,0.1331,0,0.4863,0.2462,12.6889
T.libellula,F,Winter,3.0633,0.0556,13.3451,6.5926,0.2624,0.2684,0.2037,0.4039,0.4005,0.8479,20.3798,4.3339,2.0657,0.9514,3.1931,1.0273,13.0106,0.8274,0.6407,9.6762,5.7523,1.1019,0.1918,0,0.3866,0.2893,10.7284
T.libellula,M,Winter,3.3669,0,11.8269,3.1266,0,0,0,0,1.6133,1.5499,12.229,2.1288,2.1165,0,1.4926,2.5018,8.7588,0.9731,0,0,11.5627,13.7068,2.4367,0,0,1.5918,19.0179
T.libellula,M,Winter,3.2102,0.181,11.3262,4.8082,0.3586,0.1872,0.1624,0.4329,0.8713,0.9186,17.4524,3.5329,2.0876,0.9729,1.7538,3.1615,15.0881,0.8083,0.2803,0.4657,8.8613,10.6476,1.6229,0.2445,0,0.8833,9.6799
T.libellula,M,Winter,3.2136,0.1639,10.1585,3.9552,0.2373,0.1799,0,0.3653,1.4315,1.0471,12.5283,3.4082,2.6162,0.5581,1.9875,3.5803,15.9115,1.3038,0.4524,0.5197,10.8937,9.454,2.2251,0.2706,0.1213,0.5197,12.8974
