Label,Season,14:0,14:1(n-5),i-15:0,a-15:0,15:0,15:1(n-6),i-16:0,16:0,16:1(n-9),16:1(n-7),16:1(n-5),i-17:0,a-17:0,16:2(n-4),17:0,16:3(n-4),16:4(n-1),18:0,18:1(n-9),18:1(n-7),18:2(n-6),18:3(n-6),18:3(n-3),18:4(n-3),20:0,20:1(n-11),20:1(n-9),20:1(n-7),20:2(n-6),20:3(n-6),20:4(n-6),20:3(n-3),20:4(n-3),20:5(n-3),22:1(n-11),22:1(n-9),22:1(n-7),22:5(n-3),22:6(n-3),24:1(n-9)
B5,winter,13.85410209,0.202521182,1.19032858,0.446373218,0.847282496,0.103327134,0,11.88262038,0,6.393883034,1.173796239,0,0.165323414,0.529034925,0,0.433973962,0,6.360818351,7.274230213,0.690225253,1.979747882,0,1.417648274,1.649101054,0.53316801,0,15.6271957,0.839016326,0.210787353,0.843149411,0.103327134,0.231452779,0.611696632,4.323207274,9.898739409,1.264724117,0.405042364,0.905145691,6.439346973,1.169663154
B6,winter,11.82658081,0.147982242,1.235851698,0.459944807,1.055873295,0.083989921,0,11.98656161,0,7.207135144,0.951885774,0,0.123985122,0.343958725,0,0.455945287,0,8.127024757,7.683078031,0.787905451,1.847778267,0,1.459824821,1.131864176,0.647922249,0,14.80222373,0.68391793,0.207975043,0.65992081,0.175978883,0.211974563,0.591928969,4.559452866,10.48674159,1.327840659,0.395952486,0.759908811,6.295244571,1.275846898
B7,winter,6.457139481,0,0.768003781,0.248124298,0.513971761,0,0,11.93359721,0,6.616647959,0.330832398,0,0.313109234,0.63803391,0,0.224493413,0,14.20216223,5.370118745,1.187452,2.623028298,0,0.614403025,1.370591363,0.661664796,0.496248597,13.93631476,1.057482129,0.283570627,0.248124298,0,0,0.324924677,5.411472795,12.19353695,1.583269333,0.460802269,0.443079104,8.069947421,1.417853134
B8,winter,12.01146518,0.148372956,1.129657731,0.411397741,0.79581858,0.121396055,0,11.17180914,0,7.422019895,0.893609847,0.175349857,0.263024785,0.411397741,0.202326758,0.421514079,0,7.192716237,7.664812005,0.856516608,1.726521666,0,1.183611533,0.917214635,0.576631259,0,17.30568201,0.856516608,0.239419997,0.14162873,0.104535491,0.165233519,0.492328444,4.812004721,9.674591131,1.301635475,0.401281403,0.445118867,6.980273141,1.382566178
H5,summer,6.579456115,0.193323882,0.328650599,0,0.264209305,0,0,7.836061348,0,6.038149246,0.612192293,0.399536023,0,0.289985823,0,0.451089058,0.728186622,1.694806032,4.691326202,0.670189457,2.274777678,0,1.205052197,14.44773811,0.528418611,0,11.96030416,1.939682949,0.257765176,1.031060704,0.199768011,0,0.902178116,11.98608068,8.203376724,0.902178116,0.53486274,0.799072045,11.10323495,0.947287022
H6,summer,6.704170847,0.193492905,0.315321772,0,0.254407338,0,0,7.822129855,0,6.313601835,0.598394726,0.297405762,0,0.304572166,0,0.505231475,0.949548517,1.788017773,4.536333668,0.691557976,2.354163681,0.150494482,1.229038269,15.45076681,0.5518131,0.462233051,11.29783575,2.124838756,0.31173857,1.15737423,0.247240934,0.171993694,0.88146768,6.664755626,8.635516698,0.870718074,0.56972911,0.892217285,14.7018776,0
H7,summer,6.27990784,0.200862527,0.342647841,0,0.265847463,0,0,7.721391859,0,7.136527441,0.667572517,0.289478348,0,0.301293791,0,0.484433154,0.768003781,1.547823005,4.212205352,0.726649731,2.215395522,0,1.110651622,13.46960477,0.549418089,0.46670999,12.41803037,2.032256159,0.283570627,1.022035801,0.21267797,0,0.791634667,11.2128552,8.524841968,0.968866308,0.573048975,0.832988716,11.33100963,1.039758965
H8,summer,5.202908266,0,0.391893982,0.180477492,0.262981488,0,0,11.84963647,0,6.368277213,0.489867478,0,0.195946991,0.262981488,0,0.247511989,0.180477492,4.908987779,4.187077812,0.907543959,3.867374826,0,1.010673955,8.626824112,0.495023978,0.268137988,5.063682772,2.753570876,1.031299954,0.613623472,0.252668489,0,0.763161966,12.50966844,4.924457278,0.783787965,1.005517455,0.458928479,18.21791368,1.717114423
D11,spring,8.949960218,0.15697912,0.791346795,0.283852655,0.589209298,0.191385502,0,9.476807948,0,18.67191364,0.666623659,0.150527923,0.167731114,0.52684773,0.107519945,0.584908501,0.694578844,2.057931746,5.913596972,1.311743328,0.894565942,0.152678322,0.440831774,2.040728555,0.619314883,0.44943337,10.19074038,0.681676451,0.129023934,0.31180784,0.133324732,0.098918349,0.41072619,11.78418597,7.141474744,0.954777111,0.399974195,0.46878696,11.40356536,0
D12,spring,7.813245539,0.107357572,0.403187327,0.147914877,0.486687661,0.260043897,0,9.237522664,0.140757706,24.40356904,0.582116614,0.109743296,0.114514744,0.696631358,0.11212902,0.811146102,1.424277126,1.827464453,3.967458727,1.316919553,0.634602538,0.14314343,0.36740147,2.657696345,0.620288195,0.381715813,9.600152686,0.591659509,0.102586125,0.097814677,0.16222922,0.076343163,0.400801603,13.85389827,5.482393358,0.830231892,0.331615612,0.574959443,8.011260616,1.116518752
D13,spring,7.543724384,0.19478148,0.450432171,0.202897375,0.491011646,0.211013269,0,8.890962951,0.202897375,26.61201964,0.710140811,0.389562959,0.170433795,0.685793126,0.08115895,0.710140811,0.892748448,1.318832934,4.861421093,1.464919044,0.831879235,0.174491742,0.320577852,1.456803149,0.231303007,0.486953699,9.519944812,0.697966968,0.137970215,0.324635799,0.125796372,0.17854969,0.385505012,10.48167837,5.977356653,0.892748448,0.373331169,1.160572982,8.996469586,1.160572982
D14,spring,8.487040746,0.146482915,0.550058294,0.194314071,0.469343218,0.179366835,0,9.234402559,0.158440704,28.2173926,0.559026636,0.095662312,0.167409046,0.759319602,0.029894473,0.550058294,0.639741712,1.354219605,4.065648262,1.473797495,0.714477893,0.095662312,0.269050253,1.067232669,0.490269349,0.42450151,9.282233715,0.732414577,0.116588443,0.107620101,0.116588443,0.260081911,0.322860303,9.996711608,6.487100535,0.926728648,0.427490957,0.364712565,9.052046277,1.41400855
C5,winter,14.88423374,0.134000509,1.307777118,0.508862692,0.929522517,0.154355017,0.195064032,11.04740904,0,7.858536172,0.766686456,0.189975405,0.276482063,0.469849886,0.212026122,0.405393945,0,2.924264269,7.995929098,1.029598847,1.323042999,0.140785345,0.800610635,0.758205411,0.539394453,0,12.702909,0.873547621,0.347722839,0.11534221,0.086506658,0.232380629,0.461368841,7.271647867,9.914341447,1.277245357,0.432533288,0.193367823,11.13221949,0.106861165
C6,winter,7.588690317,0.066684449,0.936916511,0.326753801,0.660176047,0,0,11.29301147,0,6.758468925,0.863563617,0.280074687,0.19005068,0.336756468,0.346759136,0.293411576,0.153374233,18.16150974,6.378367565,0.806881835,1.580421446,0.066684449,0.576820485,0.223392905,0.880234729,0,15.65417445,0.640170712,0.263403574,0.160042678,0,0.24339824,0.330088023,4.364497199,9.65257402,1.257001867,0.350093358,0.430114697,6.591757802,1.293678314
H21,winter,4.437380801,0.042381861,0.60182242,0.203432931,0.557321466,0.059334605,0.059334605,9.902521721,0,7.22186904,0.807374444,0.16105107,0.228862047,0.521296885,0.235219326,0.396270396,0,4.547573638,8.559016741,1.123119305,1.911421911,0.11866921,0.743801653,0.504344141,0.633608815,0,18.49544395,0.754397118,0.360245815,0.222504768,0.116550117,0.243695698,0.517058699,7.387158296,13.10447129,1.597796143,0.495867769,0.260648442,10.20979021,2.657342657
F1,summer,8.916183328,0.11941317,0.915500967,0.318435119,0.623602108,0.164903901,0,8.70957959,0,6.184844005,0.843473976,0.104249592,0.1326813,0.341180484,0.111831381,0.625497555,0.475757231,1.478448766,8.326699268,0.703210887,1.662307138,0.272944388,1.476553319,9.082982676,0.621706661,0,15.11429546,1.2907995,0.159217559,0.87380113,0.153531218,0.176276584,0.985632511,10.27332348,8.95409227,1.268054134,0.407521134,0.746806172,6.592365139,0.792296903
F2,summer,8.920529342,0.131642763,0.79158872,0.31005335,0.594124576,0.17148202,0,7.787708723,0,6.595995289,0.74828518,0.31005335,0.131642763,0.412249706,0.100464214,0.678999515,0.826231553,1.397838287,7.394512575,0.644356683,1.666320238,0.277142659,1.210766992,9.552761034,0.606249567,0,14.69202522,1.477516802,0.176678445,0.800249428,0.199196286,0.207856994,0.959606457,11.4407954,9.488671794,1.269659807,0.400124714,0.980392157,5.916995774,0.729231622
F3,summer,9.433757003,0.121480246,0.831323772,0.330897685,0.629158885,0.20851087,0,8.472793864,0,5.979729117,0.821351513,0.101535728,0.152303592,0.478668431,0.044421881,0.714376371,0.73341432,1.674432941,8.066650953,0.686272732,1.504904538,0.291915218,1.281888565,9.946875057,0.613747212,0,15.26118253,1.173100285,0.151397023,0.728881475,0.166808696,0.184033507,0.985440502,10.86341631,8.827262343,1.090602506,0.343589651,0.064366399,6.986020706,0.053487571
F4,summer,9.541377706,0.131993206,0.565839726,0.206645101,0.509580327,0.217464216,0,7.658851659,0,11.03008796,0.721634985,0.090880568,0.100617771,0.619935302,0.093044391,0.823334668,1.159809151,1.21606855,5.808782958,0.731372188,1.377273367,0.252085384,1.070010495,9.637667832,0.61885339,0,14.34398295,1.185775027,0.142812321,0.645901178,0.193662162,0.138484675,0.915297147,11.89561718,8.17167772,1.164136797,0.361358448,0.706488223,5.242943232,0.708652046
F5,summer,7.326738985,0.104121291,0.509981832,0.190180725,0.420735011,0.220992127,0,6.760446659,0,8.279767533,0.570542174,0.100933904,0.107308677,0.526981226,0.089246821,0.739473656,1.279204428,1.435386364,4.945761307,0.752223202,1.807248117,0.252865992,1.134709576,10.301633,0.688475473,0,16.17279884,1.051837528,0.184868414,0.608790812,0.186993338,0.201867808,0.86484419,12.96735054,9.314605667,1.333389998,0.358049744,0.747973353,7.436172586,0.025499092
F6,summer,8.189904269,0.113696324,0.619362296,0.205407171,0.474258147,0.241840247,0,7.263373452,0,9.569335913,0.679037162,0.391969647,0.101133194,0.53456117,0.035176763,0.626272017,0.858689917,1.241237217,5.262066886,0.731802307,1.73057112,0.302771426,1.177165255,10.46320259,0.581672906,0,16.33395311,1.204175984,0.186562476,0.742480967,0.252518908,0.118093419,0.946631825,10.09196211,8.326214226,1.212342019,0.400135682,0.619362296,8.12897309,0.042086485
F7,summer,7.532165176,0.090675162,0.707021198,0.291630928,0.578360495,0.471755912,0,8.246538414,0,5.77257689,0.803823061,0.123759343,0.131111383,0.343095209,0.109055263,0.583261855,0.441122411,1.664011763,7.762529102,0.667810317,1.478985418,0.272025487,1.379732876,9.457174366,0.648204877,0,16.28599436,1.128538169,0.165420904,0.77686558,0.175223625,0.167871584,0.941061144,11.36380346,9.289302782,1.215537312,0.361475309,0.695993138,7.130253645,0.746232079
F8,summer,8.356249004,0.119560019,0.774151124,0.292922047,0.586840427,0.201259366,0,7.85608959,0,6.636577395,0.81300813,0.113582018,0.131516021,0.410489399,0.025904671,0.613741432,0.60477443,1.527379244,7.200502152,0.69045911,1.593137255,0.279969711,1.287262873,9.821855571,0.64462777,0,15.74406185,1.129842181,0.173362028,0.683484776,0.178343695,0.167384027,1.013271162,11.28248047,8.934122429,1.243424199,0.382592061,0.708393113,7.744500239,0.032879005
F9,summer,8.254816134,0.106338255,0.818557262,0.314068798,0.646684967,0.174345278,0,8.059450503,0,5.064668497,0.796300418,0.110047729,0.140960012,0.364764943,0.114993694,0.572495487,0.544056186,1.630932067,7.23965675,0.641739001,1.442985385,0.29675792,1.268640107,9.613720108,0.694908129,0,15.10621461,1.078220442,0.157034399,0.687489181,0.178054752,0.246061775,0.976828152,11.91606697,10.14788436,1.284714494,0.338798625,0.702327077,7.528995722,0.739421817
H2,summer,5.524687061,0.102519966,0.265792505,0.110114038,0.230353504,0.148084395,0,5.466465846,0,8.529408042,0.46830108,0.053158501,0.067080965,0.642964726,0.045564429,0.641699047,1.317571416,1.351744738,3.607183992,0.707514334,2.784492906,0.246807326,1.312508702,17.09298941,0.615119796,0,12.86688858,1.420091382,0.227822147,0.143021681,0.320216684,0.168335253,0.893569087,12.38593072,8.021870926,1.308711666,0.363249756,0.761938513,9.786226886,0
H3,summer,6.823268516,0.06570707,0.340855424,0.125254102,0.254614895,0.168374366,0,6.593293772,0,12.9566128,0.492803023,0.178641096,0.078027145,0.476376255,0,0.714564383,1.782304265,1.166300487,3.531754995,0.782324798,1.745344038,0.182747788,0.864458635,10.84371984,0.433255991,0.305948543,12.9833063,1.268967783,0.174534404,0.642697275,0.217654668,0.108827334,0.794644874,14.14550009,7.669247038,1.090326687,0.400402456,0.800804912,8.796533952,0
H4,summer,5.518802568,0.062447554,0.357121948,0.13855551,0.271256562,0.183439689,0,6.373553461,0,13.72675292,0.54446461,0.384442753,0.122943622,0.444938821,0,0.669359717,1.537771013,0.848896435,3.569267998,0.807915227,1.535819527,0.197100092,0.958179654,10.37800285,0.519095291,0,14.02923326,1.231387702,0.146361454,0.770836992,0.210760494,0.107331733,0.802060769,13.96093125,8.373826669,1.176746092,0.398103156,0.88597467,8.180629549,0.575688387
D1,spring,9.277639191,0.15657343,0.668754312,0.254763548,0.570564195,0.167188578,0,9.816357943,0,22.45899899,0.796136086,0.164534791,0.193726448,0.809405021,0.119420413,0.554641473,0.602409639,4.21686747,5.246536808,1.28974046,0.86248076,0.140650709,0.21761053,0.647524017,0.589140704,0,11.9606178,0.703253543,0.177803726,0.108805265,0.084921183,0.119420413,0.254763548,7.183801284,7.860516958,1.101321586,0.350299878,0.270686269,8.595615944,1.406507086
D3,spring,7.986864118,0.096040647,0.520478344,0.226160233,0.653696016,0.167296611,0,11.24295186,0,19.27318917,0.638205589,0.123923415,0.145610013,0.687774955,0.195179379,0.721853894,1.189664787,4.012020571,4.848503625,1.189664787,0.814796456,0.257141087,0.365574075,1.666769936,0.675382614,0.092942561,12.62469794,0.60412665,0.130119586,0.127021501,0.108432988,0.436830039,0.350083648,9.808538323,6.707354855,1.140095421,0.337691307,0.613420906,7.971373691,1.248528409
D4,spring,6.580219262,0.084875634,0.471531298,0.18153955,0.450312389,0.183897206,0,8.843569492,0,27.26393964,0.612990687,0.106094542,0.155605328,0.71201226,0.070729695,0.660143817,1.06094542,1.065660733,4.488977956,1.346221855,1.058587764,0.172108924,0.334787222,1.657432512,0.579983496,0.322998939,10.12141931,0.742661794,0.129671107,0.304137687,0.12731345,0.070729695,0.381940351,12.50029471,6.096899682,0.905340092,0.384298008,0.485677237,8.107980667,1.176470588
D5,spring,8.873412007,0.134132972,0.54556007,0.183143097,0.513316567,0.171535436,0,9.251305862,0,29.26807248,0.641000838,0.10575869,0.162507255,0.806087573,0.132843232,0.527503708,0.790610692,1.636680209,4.515380151,1.113045721,1.116914942,0.10575869,0.359837493,0.825433675,0.55071903,0.375314374,8.422002966,0.617785516,0.239891662,0.148320113,0.117366351,0.131553492,0.337911911,9.34545689,6.443541626,0.998258851,0.339201651,0.66163668,9.408654156,0.082543368
H24,spring,6.76388458,0,0.589512876,0.186161961,0.449891406,0.155134967,0,10.4716103,0,21.64132796,0.465404902,0.217188954,0,0.527458889,0.077567484,0.42662116,0.527458889,2.707105182,4.010238908,1.659944151,0.71362085,0,0.209432206,0.845485572,0.457648154,0,9.269314303,0.636053366,0.186161961,0.178405213,0,0,0.186161961,12.10052746,6.538938877,1.039404282,0.418864412,0.535215638,14.07074155,1.737511635
H25,spring,8.409624413,0,0.616197183,0.187793427,0.598591549,0.15258216,0,9.683098592,0,19.11971831,0.598591549,0.234741784,0.21713615,0.680751174,0,0.545774648,0.457746479,2.136150235,5.669014085,1.214788732,1.073943662,0,0.393192488,0.980046948,0.551643192,0,16.27347418,0.839201878,0.146713615,0.176056338,0,0,0.305164319,7.582159624,10.33450704,1.566901408,0.469483568,0.73943662,6.637323944,1.408450704
H26,spring,6.436155219,0,0.422813117,0,0.451000658,0,0,10.01597294,0,25.66005825,0.488584046,0.206708635,0,0.714084375,0,0.610730057,0.911397162,3.222775533,4.669735977,1.418772902,0.732876069,0,0.206708635,1.259043503,0.50737574,0,9.696514141,0.695292681,0,0.206708635,0,0,0.244292023,11.04012027,6.78380156,0.995959786,0.422813117,0.234896176,10.43878606,1.306022738
H27,spring,5.98840953,0,0.422122058,0.143092223,0.472204336,0,0,10.13092938,0,26.98003863,0.465049725,0.257566001,0.193174501,0.608141947,0,0.515132003,0.62245117,2.969163626,4.235529799,1.516777563,0.729770337,0,0.178865279,0.994490949,0.565214281,0,7.29770337,0.715461115,0.200329112,0.171710668,0.157401445,0,0.221792946,12.27731273,5.044000859,0.965872505,0.450740502,0.615296559,12.41325034,1.481004507
H20,winter,7.236013576,0.059766484,1.23161647,0.409827318,0.591261286,0.081111657,0,10.43565498,0,8.100493073,0.719332323,0.24333497,0.262545625,0.369271489,0.239065935,0.369271489,0,3.27861854,7.171978057,1.206002263,1.391705266,0.130205554,0.642489701,0.232662383,0.535763837,0,17.36002903,0.712928771,0.47813187,0.213451728,0.110994899,0.202779141,0.339388247,8.29900318,11.53920041,1.839953894,0.45465218,0.053362932,10.79425388,2.663877564
E1,summer,8.255084654,0.130515172,0.612696226,0.228401552,0.587318276,0.253779502,0,7.22546496,0,7.812783236,0.64895044,0.340789617,0.116013487,0.489431896,0,0.761338506,1.109378965,0.873726571,6.181343581,0.64895044,1.453794004,0.206649023,1.29427546,9.828517565,0.569191168,0,14.23340463,1.069499329,0.141391437,0.74683682,0.195772759,0.137766015,1.025994272,12.9101258,9.643621071,1.297900881,0.37341841,0.732335134,7.109451474,0.754087663
E2,summer,8.731947684,0.131051293,0.688019291,0.245065919,0.542552355,0.226718738,0,7.134432417,0,5.962833853,0.750923912,0.39315388,0.100909496,0.448195424,0,0.597593898,0.788928787,0.927843158,6.483107488,0.648703903,1.798023746,0.28569182,1.280371137,10.28097397,0.659188006,0,15.49943648,1.163735486,0.167745656,0.643461851,0.180850785,0.180850785,1.014337012,11.73957487,9.89568317,1.323618064,0.418053626,0.820381097,7.186852934,0.659188006
E3,summer,7.820281616,0.175562217,0.541018261,0.206614038,0.462194408,0.142121795,0,6.61164921,0,5.806690473,0.616259211,0.108681372,0.094349763,0.58520739,0,0.601927601,1.021127181,1.054567603,6.600900503,0.671197048,2.658513573,0.289020793,1.431966655,11.51664258,0.632979422,0,14.97056049,1.091590928,0.248414566,0.616259211,0.214974143,0.179145119,1.030681587,11.03175646,10.06078991,1.355531404,0.341570028,0.678362852,8.443706632,0.087183958
E4,summer,8.367297747,0.127092646,0.674905776,0.261854676,0.536856867,0.184065212,0,7.529143659,0,10.22000175,0.749408362,0.396616706,0.111753879,0.444824262,0.076693838,0.58287317,0.762555877,0.811859059,6.62634762,0.762555877,1.541546148,0.26952406,1.291743361,9.732448067,0.688053291,0,14.92571654,1.107678149,0.167630818,0.751599614,0.18735209,0.14352704,0.971820493,11.77907792,8.323472697,1.107678149,0.376895433,0.771320887,5.92624244,0.709965816
E5,summer,8.350518057,0.115682527,0.657630017,0.261543104,0.525601046,0.179810884,0,7.550799718,0,8.267528418,0.790916407,0.383512725,0.109395433,0.359621768,0.079217383,0.543204909,0.690322905,0.954380847,6.857961976,0.66517453,1.473694799,0.252741173,1.466150287,11.15456192,0.679006136,0,14.29307917,1.107785937,0.158434765,0.872648627,0.174781209,0.150890252,1.023538879,11.56951011,8.534101197,1.163112363,0.377225631,0.676491299,6.865506488,0.663917111
E6,summer,8.02903419,0.142117194,0.642463678,0.246649675,0.510917184,0.165607639,0,7.097638036,0,8.842978119,0.717633103,0.43574776,0.10923057,0.425177059,0.077518469,0.631892978,0.81981654,1.01713628,6.539739961,0.674175779,1.623189768,0.271314643,1.362445825,10.79033603,0.683571957,0,14.36910537,1.309592323,0.177352862,0.839783418,0.191447129,0.157385983,1.072338826,11.60545448,8.361423991,1.208583409,0.382894258,0.723505714,7.701342479,0.043457324
